Name;ToName
barely;ledwo, z trudem
holistic;holistyczny, całościowy
poppy seed;mak, ziarno maku
suspense;suspens, napięcie
appealing;atrakcyjny, kuszący
intended;przeznaczony, zamierzony
aloof;obojętny, zdystansowany, wyobraczony
deadpan;obojętny, bez wyrazu
obliviousness;nieświadomość, obojętność
awkwardness;niezdarność, niezręczność
cranky;nerwowy, zrzędliwy, kapryśny
vows of chastity;przysięgi czystości
indecisive;niezdecydowany, niepewny
indeterminate;nieokreślony, niepewny
mimic;naśladować, imitować
prominent;wybitny, znaczący, rzucający się w oczy
squid;kałamarnica, kalmar
octopus;ośmiornica
cavities;ubytki, jamy
rant;monolog, tirada
humongous;ogromny, kolosalny
to strive;dążyć, starać się
hijack;przejąć kontrolę, uprowadzić, zakłócić
pitch;ton, podest, dach, namiot, proponować, podrzucać
tar;dachówka, smoła
crisp;kruchy, chrupiący
tweaks;poprawki, modyfikacje
scope;zakres, zakres działania, teleskop
to creep;pełzać, zakradać się
independence;niezależność, samodzielność
derailment;wypadek, odczepienie
grasp;chwyt, uchwyt, zrozumienie
flickering;miganie, migotanie
bulk;masa, partia, objętość
batch;partia, seria, porcja
child labor;praca dzieci, wyzysk dzieci
mismatch;niezgodność, niezgodność, brak dopasowania
awkward;niezdarny, niezręczny, krępujący
are you nuts;jesteś szalony, jesteś wariatem
nuts;orzechy, orzeszki
peanuts;arachidys, orzeszki ziemne
stick;patyk, kij, trzymać, przyklejać
hustle;pośpiech, pościg, oszustwo, zarabiać
pauper;biedak, ubogi
assault;atak, napad
admix;mieszanie, mieszanka
goldfinch;zięba, zięba zwyczajna
hallowed;święty, uświęcony
snorkeling;nurkowanie z maską, snorkeling
retention;zatrzymanie, retencja
fancy;wykwintny, elegancki, kaprys, fantazja
prospect;perspektywa, szansa, widok
sedimenting;sedimentacja
abesmall;nieistotny, bez znaczenia
stale;przestarzały, zjełczały
cache retention;buforowanie, przechowywanie w pamięci podręcznej
shaded;zacieniony, przyciemniony
depict;ukazywać, przedstawiać, malować, odzwierciedlać
oblivious;nieświadomy, nieuważny
whine;narzekać, jęczeć, piszczeć
sulfur;siarka
sloppy;niechlujny, niedbały, śluzki
bitter;gorzki, cierpki
fence;ogrodzenie, płot
pot;garnek, gliniana doniczka
swing;huśtawka, huśtać się, wahadło
fidelity;wierność, wierność
jigsaw;puzzle, układanka
stubble;broda, resztki włosów
encouraged;zachęcony, zmotywowany
concise;zwięzły, lakoniczny
coir;koira
wanna;chcieć, mieć ochotę
irrelevant;nieistotny, bez znaczenia
prepend;dodawać na początku, wstawiać na początku
detractor;krytyk, przeciwnik
big;duży, wielki
weird;dziwny, osobliwy
guts;odwaga, śmiałość, jelita
ancestor;przodek, przodkowie
descendant;potomek, spadkobierca
compound;związek, związek chemiczny, kompleks, związek, połączenie
stuff;rzeczy, materiał, wypełnienie
tint;odcień, barwnik
